日期,类别,车次/航班/车牌,车厢/座位等,出发地,目的地,发布时间,引用
1月12,火车,K457,4号车厢,武昌,株洲,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月12,火车,K581,6号车厢,株洲,湘潭,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月13,火车,K1627,,武汉,柳州,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月14,火车,K1068,12号车厢,汉口,徐州,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月15,火车,Z338,,武汉,柳州,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月15,火车,Z335,10号车厢,武昌,柳州,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月15,火车,5539,3号车厢,柳州,金城江,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,G2035,10号车厢,武汉,温州南,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,G7645,8号车厢,温州南,苍南,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,K4094,9号车厢,汉口,阜阳,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,T182,,汉口,沈阳北,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,Z162,5号车厢,武汉,石家庄,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,G2371,4号车厢,南昌西,瑞金,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
1月16,火车,G2626,7号车厢,武汉,锦州南,2020.1.29,https://mp.weixin.qq.com/s/f2DB2Ig3XdDqHvSuus6BoQ
